Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/8/2023 15:31,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-58,10.2,10,70.47,27.48,0,8639,-1
2/8/2023 15:32,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-70,10.2,10,70.16,27.21,0,22655,-1
2/8/2023 15:32,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-61,12,10,70.45,27.46,0,8640,-1
2/8/2023 15:34,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-58,12.2,10,69.55,29.34,0,20783,-1
2/8/2023 15:34,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-73,10,10,70.3,28.85,0,22796,-1
2/8/2023 15:34,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-60,11,10,69.57,29.35,0,20784,-1
2/8/2023 15:35,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-72,11.5,10,70.18,27.16,0,22658,-1
2/8/2023 15:35,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-58,7.5,10,70.43,27.41,0,8643,-1
2/8/2023 15:36,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-77,12.5,10,70.32,28.82,0,22797,-1
2/8/2023 15:36,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-59,11.8,10,69.57,29.33,0,20785,-1
2/8/2023 15:36,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-62,12,10,70,26.93,0,22144,-1
2/8/2023 15:36,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-82,10,10,70.32,28.89,0,22798,-1
2/8/2023 15:37,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-59,11.8,10,69.55,29.32,0,20786,-1
